#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
1766	53.14173654	-27.80850549	28.04	0.303	8.27	0	0.351	21.8	3.18	2.7	3.8	0.653	0.579	0	11	29.462	-99	28.04	TRUE
1792	53.15299357	-27.80817841	27.724	0.313	10.79	0	0.091	-88.4	3.18	2.69	3.44	0.794	0.151	0	11	28.068	-99	27.724	TRUE
2342	53.16979975	-27.8047541	99	29.334	8.11	0	0.398	-40.7	3.18	0.23	3.47	0.493	1.605	0	11	99	-99	99	TRUE
3962	53.13002246	-27.7966636	28.277	0.632	9.18	0	0.325	-49.3	3.18	0.42	3.66	0.434	0.553	0	11	99	-99	28.277	TRUE
5126	53.12811959	-27.78967142	28.937	0.661	10	0	0.329	-47.9	3.18	0.3	3.63	0.476	0.044	0	11	29.285	-99	28.937	TRUE
6672	53.16443174	-27.78535107	28.911	0.275	11.64	0	0.454	78.3	3.18	0.27	3.71	0.385	0.572	0	11	29.023	28.801	28.911	TRUE
8032	53.14940016	-27.76498149	99	28.361	11	0	0.329	34.5	3.18	0.31	3.65	0.282	1.608	0	11	99	-99	99	TRUE
9193	53.14725145	-27.77228183	28.816	0.132	7.97	0	0.147	55.3	3.18	2.64	3.54	0.768	0.954	0	11	29.254	29.126	28.816	TRUE
9233	53.16247053	-27.77286944	27.366	0.038	8.44	0.01	0.232	-62.3	3.179	2.97	3.38	0.986	0.665	0	11	27.643	27.569	27.366	TRUE
24807	53.15935866	-27.77382266	27.866	0.07	8.84	0.01	0.28	-58.6	3.176	2.93	3.4	0.971	0.333	0	11	28.128	27.953	27.866	TRUE
3349	53.15393821	-27.7993209	27.58	0.057	12.24	0	0.145	-81.2	3.174	2.92	3.43	0.95	0.822	0	11	27.924	27.85	27.58	TRUE
5772	53.15748203	-27.79253022	26.462	0.027	22.44	0	0.43	-51.2	3.173	2.95	3.38	0.982	0.357	0	11	27.194	26.703	26.462	TRUE
5431	53.12853351	-27.79104727	99	28.97	5.97	0.84	0.099	-3.5	3.17	0.32	3.62	0.362	0.358	0	11	99	-99	99	TRUE
24771	53.17200215	-27.77285372	28.144	0.131	7.23	0.21	0.516	-12.6	3.17	2.7	3.54	0.808	0.498	0	11	28.84	28.291	28.144	TRUE
2415	53.17648918	-27.80452139	99	28.874	5.35	0.16	0.231	-2.4	3.17	0.37	3.72	0.219	1.759	0	11	29.156	-99	99	TRUE
6861	53.17735707	-27.78452661	28.911	0.113	7.23	0.15	0.223	17.4	3.17	2.76	3.53	0.821	1.079	0	11	29.368	29.128	28.911	TRUE
21775	53.14126187	-27.79783019	27.496	0.369	7.54	0.1	0.233	39.1	3.17	2.5	3.43	0.686	1.032	0	11	28.805	-99	27.496	TRUE
22490	53.16498912	-27.78778442	25.498	0.011	15.67	0.03	0.402	57.5	3.17	2.98	3.35	0.995	0.148	0	11	26.058	25.747	25.498	TRUE
2628	53.14075413	-27.8032852	27.676	0.252	6.13	0.02	0.069	-14	3.17	2.75	3.43	0.865	0.152	0	11	27.871	-99	27.676	TRUE
2794	53.19095654	-27.80241147	28.491	0.448	7.15	0.02	0.406	85	3.17	0.4	3.89	0.452	0.585	0	11	29.474	-99	28.491	TRUE
6817	53.14545312	-27.78474626	30.093	0.305	5.31	0.02	0.22	-30.1	3.17	0.34	3.59	0.468	0.278	0	11	30.039	30.189	30.093	TRUE
349	53.15899707	-27.82274688	99	29.01	6.45	0.01	0.203	85.7	3.17	1.8	3.52	0.639	1.685	0	11	29.092	-99	99	TRUE
5322	53.19465298	-27.79060484	27.043	0.138	8.16	0.01	0.307	46.2	3.17	0.3	3.39	0.936	1.071	0	11	27.342	-99	27.043	TRUE
23265	53.18611432	-27.79408689	27.564	0.249	10.86	0.01	0.453	65.6	3.17	2.82	3.38	0.92	1.285	0	11	28.856	-99	27.564	TRUE
1829	53.17400873	-27.80807993	28.257	0.401	6.68	0	0.102	27	3.17	0.53	3.77	0.508	0.811	0	11	29.634	-99	28.257	TRUE
1927	53.16345672	-27.80740869	29.929	0.378	9.87	0	0.406	-22	3.17	1.82	3.52	0.649	1.131	0	11	29.958	29.381	29.929	TRUE
4962	53.15977235	-27.78888045	29.177	0.201	8.29	0	0.33	-27.5	3.17	0.68	3.47	0.449	3.303	0	11	29.482	29.426	29.177	TRUE
7484	53.13295851	-27.78130089	28.584	0.471	10.67	0	0.367	49.7	3.17	2.51	3.47	0.712	0.624	0	11	99	-99	28.584	TRUE
8671	53.17504813	-27.76885426	28.942	0.266	12.26	0	0.345	68.5	3.17	0.49	3.47	0.662	1.519	0	11	28.758	28.598	28.942	TRUE
9027	53.16239333	-27.77160122	27.271	0.038	3.95	0.03	0.117	-9.3	3.168	2.97	3.36	0.992	0.426	0	11	27.339	27.436	27.271	TRUE
25211	53.13380103	-27.78190089	23.931	0.014	18.83	0.03	0.405	-19.1	3.168	2.98	3.34	0.996	0.31	0	11	24.563	-99	23.931	TRUE
8977	53.160232	-27.77194106	27.484	0.04	13.43	0	0.331	22.8	3.166	2.94	3.39	0.975	0.114	0	11	27.945	27.741	27.484	TRUE
2558	53.1743276	-27.80328842	27.356	0.219	9.88	0.01	0.32	51.9	3.164	2.8	3.51	0.83	1.121	0	11	27.855	-99	27.356	TRUE
4941	53.14191371	-27.78882455	25.886	0.012	6.41	0.02	0.118	-29.1	3.163	2.92	3.38	0.969	0.173	0	11	27.015	26.226	25.886	TRUE
40618	53.14283053	-27.7799223	24.089	0.004	49.15	0.03	0.655	-23.3	3.162	2.97	3.34	0.994	0.889	0	11	24.666	24.166	24.089	TRUE
24663	53.17494979	-27.77158263	28.445	0.162	5.59	0.74	0.386	10.3	3.16	0.43	3.57	0.686	0.471	0	11	28.979	28.686	28.445	TRUE
10503	53.20465774	-27.78757826	29.381	0.674	5.27	0.16	0.131	40.7	3.16	1.87	3.52	0.646	0.065	0	11	29.526	-99	29.381	TRUE
6474	53.14908463	-27.79545415	29.792	0.257	5.2	0.13	0.242	1.3	3.16	0.45	3.57	0.591	0.27	0	11	30.027	29.661	29.792	TRUE
